eventdate,deviceid,driverid,class
2015-01-01T00:00:00,testdevice,1,7
2015-01-01T00:00:00,testdevice,2,2
2015-01-01T00:00:00,testdevice,3,3
2015-01-01T00:00:00,testdevice,4,7
2015-01-01T00:00:00,testdevice,5,1
2015-01-01T00:00:00,testdevice,6,9
2015-01-01T00:00:00,testdevice,7,1
2015-01-01T00:00:00,testdevice,8,1
2015-01-01T00:00:00,testdevice,9,9
2015-01-01T00:00:00,testdevice,10,1
2015-01-02T00:00:00,testdevice,1,7
2015-01-02T00:00:00,testdevice,2,2
2015-01-02T00:00:00,testdevice,3,3
2015-01-02T00:00:00,testdevice,4,7
2015-01-02T00:00:00,testdevice,5,1
2015-01-02T00:00:00,testdevice,6,9
2015-01-02T00:00:00,testdevice,7,1
2015-01-02T00:00:00,testdevice,8,1
2015-01-02T00:00:00,testdevice,9,9
2015-01-02T00:00:00,testdevice,10,1
2015-01-03T00:00:00,testdevice,1,7
2015-01-03T00:00:00,testdevice,2,2
2015-01-03T00:00:00,testdevice,3,3
2015-01-03T00:00:00,testdevice,4,7
2015-01-03T00:00:00,testdevice,5,1
2015-01-03T00:00:00,testdevice,6,9
2015-01-03T00:00:00,testdevice,7,1
2015-01-03T00:00:00,testdevice,8,1
2015-01-03T00:00:00,testdevice,9,9
2015-01-03T00:00:00,testdevice,10,1
2015-01-04T00:00:00,testdevice,1,7
2015-01-04T00:00:00,testdevice,2,2
2015-01-04T00:00:00,testdevice,3,3
2015-01-04T00:00:00,testdevice,4,7
2015-01-04T00:00:00,testdevice,5,1
2015-01-04T00:00:00,testdevice,6,9
2015-01-04T00:00:00,testdevice,7,1
2015-01-04T00:00:00,testdevice,8,1
2015-01-04T00:00:00,testdevice,9,9
2015-01-04T00:00:00,testdevice,10,1
2015-01-05T00:00:00,testdevice,1,7
2015-01-05T00:00:00,testdevice,2,2
2015-01-05T00:00:00,testdevice,3,3
2015-01-05T00:00:00,testdevice,4,7
2015-01-05T00:00:00,testdevice,5,1
2015-01-05T00:00:00,testdevice,6,9
2015-01-05T00:00:00,testdevice,7,1
2015-01-05T00:00:00,testdevice,8,1
2015-01-05T00:00:00,testdevice,9,9
2015-01-05T00:00:00,testdevice,10,1
2015-01-06T00:00:00,testdevice,1,7
2015-01-06T00:00:00,testdevice,2,2
2015-01-06T00:00:00,testdevice,3,3
2015-01-06T00:00:00,testdevice,4,7
2015-01-06T00:00:00,testdevice,5,1
2015-01-06T00:00:00,testdevice,6,9
2015-01-06T00:00:00,testdevice,7,1
2015-01-06T00:00:00,testdevice,8,1
2015-01-06T00:00:00,testdevice,9,9
2015-01-06T00:00:00,testdevice,10,1
2015-01-07T00:00:00,testdevice,1,7
2015-01-07T00:00:00,testdevice,2,2
2015-01-07T00:00:00,testdevice,3,3
2015-01-07T00:00:00,testdevice,4,7
2015-01-07T00:00:00,testdevice,5,1
2015-01-07T00:00:00,testdevice,6,9
2015-01-07T00:00:00,testdevice,7,1
2015-01-07T00:00:00,testdevice,8,1
2015-01-07T00:00:00,testdevice,9,9
2015-01-07T00:00:00,testdevice,10,1
2015-01-08T00:00:00,testdevice,1,7
2015-01-08T00:00:00,testdevice,2,2
2015-01-08T00:00:00,testdevice,3,3
2015-01-08T00:00:00,testdevice,4,7
2015-01-08T00:00:00,testdevice,5,1
2015-01-08T00:00:00,testdevice,6,9
2015-01-08T00:00:00,testdevice,7,1
2015-01-08T00:00:00,testdevice,8,1
2015-01-08T00:00:00,testdevice,9,9
2015-01-08T00:00:00,testdevice,10,1
2015-01-09T00:00:00,testdevice,1,7
2015-01-09T00:00:00,testdevice,2,2
2015-01-09T00:00:00,testdevice,3,3
2015-01-09T00:00:00,testdevice,4,7
2015-01-09T00:00:00,testdevice,5,1
2015-01-09T00:00:00,testdevice,6,9
2015-01-09T00:00:00,testdevice,7,1
2015-01-09T00:00:00,testdevice,8,1
2015-01-09T00:00:00,testdevice,9,9
2015-01-09T00:00:00,testdevice,10,1
2015-01-10T00:00:00,testdevice,1,7
2015-01-10T00:00:00,testdevice,2,2
2015-01-10T00:00:00,testdevice,3,3
2015-01-10T00:00:00,testdevice,4,7
2015-01-10T00:00:00,testdevice,5,1
2015-01-10T00:00:00,testdevice,6,9
2015-01-10T00:00:00,testdevice,7,1
2015-01-10T00:00:00,testdevice,8,1
2015-01-10T00:00:00,testdevice,9,9
2015-01-10T00:00:00,testdevice,10,1
2015-01-11T00:00:00,testdevice,1,7
2015-01-11T00:00:00,testdevice,2,2
2015-01-11T00:00:00,testdevice,3,3
2015-01-11T00:00:00,testdevice,4,7
2015-01-11T00:00:00,testdevice,5,1
2015-01-11T00:00:00,testdevice,6,9
2015-01-11T00:00:00,testdevice,7,1
2015-01-11T00:00:00,testdevice,8,1
2015-01-11T00:00:00,testdevice,9,9
2015-01-11T00:00:00,testdevice,10,1
2015-01-12T00:00:00,testdevice,1,7
2015-01-12T00:00:00,testdevice,2,2
2015-01-12T00:00:00,testdevice,3,3
2015-01-12T00:00:00,testdevice,4,7
2015-01-12T00:00:00,testdevice,5,1
2015-01-12T00:00:00,testdevice,6,9
2015-01-12T00:00:00,testdevice,7,1
2015-01-12T00:00:00,testdevice,8,1
2015-01-12T00:00:00,testdevice,9,9
2015-01-12T00:00:00,testdevice,10,1
2015-01-13T00:00:00,testdevice,1,7
2015-01-13T00:00:00,testdevice,2,2
2015-01-13T00:00:00,testdevice,3,3
2015-01-13T00:00:00,testdevice,4,7
2015-01-13T00:00:00,testdevice,5,1
2015-01-13T00:00:00,testdevice,6,9
2015-01-13T00:00:00,testdevice,7,1
2015-01-13T00:00:00,testdevice,8,1
2015-01-13T00:00:00,testdevice,9,9
2015-01-13T00:00:00,testdevice,10,1
2015-01-14T00:00:00,testdevice,1,7
2015-01-14T00:00:00,testdevice,2,2
2015-01-14T00:00:00,testdevice,3,3
2015-01-14T00:00:00,testdevice,4,7
2015-01-14T00:00:00,testdevice,5,1
2015-01-14T00:00:00,testdevice,6,9
2015-01-14T00:00:00,testdevice,7,1
2015-01-14T00:00:00,testdevice,8,1
2015-01-14T00:00:00,testdevice,9,9
2015-01-14T00:00:00,testdevice,10,1
2015-01-15T00:00:00,testdevice,1,7
2015-01-15T00:00:00,testdevice,2,2
2015-01-15T00:00:00,testdevice,3,3
2015-01-15T00:00:00,testdevice,4,7
2015-01-15T00:00:00,testdevice,5,1
2015-01-15T00:00:00,testdevice,6,9
2015-01-15T00:00:00,testdevice,7,1
2015-01-15T00:00:00,testdevice,8,1
2015-01-15T00:00:00,testdevice,9,9
2015-01-15T00:00:00,testdevice,10,1
2015-01-16T00:00:00,testdevice,1,7
2015-01-16T00:00:00,testdevice,2,2
2015-01-16T00:00:00,testdevice,3,3
2015-01-16T00:00:00,testdevice,4,7
2015-01-16T00:00:00,testdevice,5,1
2015-01-16T00:00:00,testdevice,6,9
2015-01-16T00:00:00,testdevice,7,1
2015-01-16T00:00:00,testdevice,8,1
2015-01-16T00:00:00,testdevice,9,9
2015-01-16T00:00:00,testdevice,10,1
2015-01-17T00:00:00,testdevice,1,7
2015-01-17T00:00:00,testdevice,2,2
2015-01-17T00:00:00,testdevice,3,3
2015-01-17T00:00:00,testdevice,4,7
2015-01-17T00:00:00,testdevice,5,1
2015-01-17T00:00:00,testdevice,6,9
2015-01-17T00:00:00,testdevice,7,1
2015-01-17T00:00:00,testdevice,8,1
2015-01-17T00:00:00,testdevice,9,9
2015-01-17T00:00:00,testdevice,10,1
2015-01-18T00:00:00,testdevice,1,7
2015-01-18T00:00:00,testdevice,2,2
2015-01-18T00:00:00,testdevice,3,3
2015-01-18T00:00:00,testdevice,4,7
2015-01-18T00:00:00,testdevice,5,1
2015-01-18T00:00:00,testdevice,6,9
2015-01-18T00:00:00,testdevice,7,1
2015-01-18T00:00:00,testdevice,8,1
2015-01-18T00:00:00,testdevice,9,9
2015-01-18T00:00:00,testdevice,10,1
2015-01-19T00:00:00,testdevice,1,7
2015-01-19T00:00:00,testdevice,2,2
2015-01-19T00:00:00,testdevice,3,3
2015-01-19T00:00:00,testdevice,4,7
2015-01-19T00:00:00,testdevice,5,1
2015-01-19T00:00:00,testdevice,6,9
2015-01-19T00:00:00,testdevice,7,1
2015-01-19T00:00:00,testdevice,8,1
2015-01-19T00:00:00,testdevice,9,9
2015-01-19T00:00:00,testdevice,10,1
2015-01-20T00:00:00,testdevice,1,7
2015-01-20T00:00:00,testdevice,2,2
2015-01-20T00:00:00,testdevice,3,3
2015-01-20T00:00:00,testdevice,4,7
2015-01-20T00:00:00,testdevice,5,1
2015-01-20T00:00:00,testdevice,6,9
2015-01-20T00:00:00,testdevice,7,1
2015-01-20T00:00:00,testdevice,8,1
2015-01-20T00:00:00,testdevice,9,9
2015-01-20T00:00:00,testdevice,10,1
2015-01-21T00:00:00,testdevice,1,7
2015-01-21T00:00:00,testdevice,2,2
2015-01-21T00:00:00,testdevice,3,3
2015-01-21T00:00:00,testdevice,4,7
2015-01-21T00:00:00,testdevice,5,1
2015-01-21T00:00:00,testdevice,6,9
2015-01-21T00:00:00,testdevice,7,1
2015-01-21T00:00:00,testdevice,8,1
2015-01-21T00:00:00,testdevice,9,9
2015-01-21T00:00:00,testdevice,10,1
2015-01-22T00:00:00,testdevice,1,7
2015-01-22T00:00:00,testdevice,2,2
2015-01-22T00:00:00,testdevice,3,3
